"cement","slag","ash","water","superplastic","coarseagg","fineagg","age","strength"
153,102,0,192,0,888,943.1,90,26.32
160,250,0,168,12,1049,688,28,39.45
451,0,0,165,11.3,1030,745,28,78.8
190.3,0,125.2,161.9,9.9,1088.1,802.6,56,38.56
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,56,66.82
250,0,0,182,0,1100,820,28,20.87
277.1,0,97.4,160.6,11.8,973.9,875.6,56,51.04
149,117.6,91.7,182.9,7.1,953.4,780.3,28,23.52
249.1,0,98.8,158.1,12.8,987.8,889,14,28.68
255.3,98.8,77,188.6,6.5,919,749.3,28,33.8
446,24,79,162,10.3,967,712,28,53.39
236,0,0,194,0,968,885,90,21.95
153.6,144.2,112.3,220.1,10.1,923.2,657.9,28,16.5
286.3,200.9,0,144.7,11.2,1004.6,803.7,91,76.8
212,0,124.8,159,7.8,1085.4,799.5,100,47.82
446,24,79,162,11.6,967,712,56,55.25
133,200,0,192,0,927.4,839.2,7,13.66
155,0,143,193,9,1047,697,28,12.46
194.7,0,100.5,165.6,7.5,1006.4,905.9,14,24.99
212,141.3,0,203.5,0,973.4,750,28,33
313.3,0,113,178.5,8,1001.9,688.7,28,36.8
295.8,0,0,185.7,0,1091.4,769.3,7,14.84
427.5,47.5,0,228,0,932,594,28,37.43
375,93.8,0,126.6,23.4,852.1,992.6,56,60.2
387,20,94,157,13.9,938,845,7,45.9
540,0,0,173,0,1125,613,90,69.66
323.7,282.8,0,183.8,10.3,942.7,659.9,56,80.2
155,183,0,193,9,1047,697,28,18.28
295,0,0,185,0,1069,769,28,25.18
425,106.3,0,153.5,16.5,852.1,887.1,3,33.4
225,0,0,181,0,1113,833,28,17.34
164.6,0,150.4,181.6,11.7,1023.3,728.9,28,18.03
290.2,193.5,0,185.7,0,998.2,704.3,7,21.86
284,15,141,179,5.5,842,801,3,13.4
277,0,0,191,0,968,856,360,33.7
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,14,29.75
220.8,147.2,0,185.7,0,1055,744.3,28,25.75
162,214,164,202,10,820,680,28,30.65
388.6,97.1,0,157.9,12.1,852.1,925.7,91,57.6
228,342.1,0,185.7,0,955.8,674.3,28,39.7
139.9,132.6,103.3,200.3,7.4,916,753.4,28,36.44
139.6,209.4,0,192,0,1047,806.9,90,39.36
183.9,122.6,0,203.5,0,959.2,800,7,10.79
375,93.8,0,126.6,23.4,852.1,992.6,7,45.7
238,0,0,186,0,1119,789,28,17.54
190.3,0,125.2,161.9,9.9,1088.1,802.6,14,22.72
446,24,79,162,11.6,967,712,3,35.36
133,200,0,192,0,927.4,839.2,28,27.87
387,20,94,157,13.9,938,845,28,46.68
277.1,0,97.4,160.6,11.8,973.9,875.6,3,23.14
212.1,0,121.6,180.3,5.7,1057.6,779.3,100,39.61
133,200,0,192,0,927.4,839.2,90,36.59
156,243,0,180,11,1022,698,28,37.36
349,0,0,192,0,1047,806,90,39.49
475,118.8,0,181.1,8.9,852.1,781.5,91,74.19
500,0,0,200,0,1125,613,180,51.04
298.1,0,107.5,163.6,12.8,953.2,784,28,35.87
302,0,0,203,0,974,817,14,18.13
238.2,158.8,0,185.7,0,1040.6,734.3,7,15.69
144,0,175,158,18,943,844,28,15.42
153,102,0,192,0,888,943.1,7,8.37
375,93.8,0,126.6,23.4,852.1,992.6,28,56.7
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
491,26,123,210,3.9,882,699,3,25.61
376,0,0,214.6,0,1003.5,762.4,14,25.62
366,187,0,191.3,6.6,824.3,756.9,28,65.91
155,0,143,193,9,877,868,28,9.74
250,0,95.7,187.4,5.5,956.9,861.2,28,29.22
382,0,0,186,0,1111,784,7,11.47
212.5,0,100.4,159.3,8.7,1007.8,903.6,14,26.31
491,26,123,210,3.9,882,699,7,33.49
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,3,15.82
229.7,0,118.2,195.2,6.1,1028.1,757.6,14,22.32
146.5,114.6,89.3,201.9,8.8,860,829.5,28,19.99
222.4,0,96.7,189.3,4.5,967.1,870.3,56,29.45
225,0,0,181,0,1113,833,7,11.17
359,19,141,154,10.9,942,801,56,66.78
158.8,238.2,0,185.7,0,1040.6,734.3,7,9.62
380,95,0,228,0,932,594,90,40.56
337.9,189,0,174.9,9.5,944.7,755.8,91,67.8
167,75.4,167,164,7.9,1007.3,770.1,100,56.81
298.2,0,107,209.7,11.1,879.6,744.2,28,31.88
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,100,66.95
336,0,0,182,3,986,817,28,44.86
249.1,0,98.8,158.1,12.8,987.8,889,56,42.03
194.7,0,100.5,170.2,7.5,998,901.8,100,44.28
238.1,0,0,185.7,0,1118.8,789.3,7,10.34
424,22,132,178,8.5,822,750,56,65.7
425,106.3,0,153.5,16.5,852.1,887.1,91,65.2
397,0,0,186,0,1040,734,28,36.94
181.4,0,167,169.6,7.6,1055.6,777.8,100,45.37
183.9,122.6,0,203.5,0,959.2,800,3,4.9
251.4,0,118.3,188.5,6.4,1028.4,757.7,28,32.66
145,0,179,202,8,824,869,28,10.54
339.2,0,0,185.7,0,1069.2,754.3,7,21.18
236,157,0,192,0,972.6,749.1,7,20.42
233.8,0,94.6,197.9,4.6,947,852.2,100,34.56
166,260,0,183,13,859,827,28,37.91
480,0,0,192,0,936.2,712.2,90,54.32
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,56,39.15
425,106.3,0,153.5,16.5,852.1,887.1,91,65.2
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,14,38.6
237.5,237.5,0,228,0,932,594,28,30.08
166.8,250.2,0,203.5,0,975.6,692.6,28,33.95
316.1,210.7,0,185.7,0,977,689.3,7,24.44
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,56,48.99
102,153,0,192,0,887,942,28,17.28
159.1,186.7,0,175.6,11.3,989.6,788.9,28,32.77
446,24,79,162,11.6,967,712,7,39.3
298,0,107,210,11,880,744,28,31.87
212.1,0,121.6,180.3,5.7,1057.6,779.3,14,20.92
281,0,0,186,0,1104,774,28,22.44
313.3,262.2,0,175.5,8.6,1046.9,611.8,7,42.8
237.5,237.5,0,228,0,932,594,365,39
312.7,144.7,0,127.3,8,999.7,822.2,28,44.52
295.7,0,95.6,171.5,8.9,955.1,859.2,3,22.95
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,56,51.72
102,153,0,192,0,887,942,90,25.46
425,106.3,0,151.4,18.6,936,803.7,3,36.3
385,0,0,186,0,966,763,1,6.27
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,3,7.4
154.8,0,142.8,193.3,9.1,1047.4,696.7,28,12.46
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,56,50.77
134.7,0,165.7,180.2,10,961,804.9,28,13.29
145,116,119,184,5.7,833,880,28,29.16
350,0,0,186,0,1050,770,28,34.29
389.9,189,0,145.9,22,944.7,755.8,28,74.5
154,174,185,228,7,845,612,28,24.34
332.5,142.5,0,228,0,932,594,270,40.27
288,192,0,192,0,932,717.8,3,16.11
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
266,114,0,228,0,932,670,90,47.03
200,133,0,192,0,965.4,806.2,7,17.17
313,145,0,178,8,1002,689,28,41.05
531.3,0,0,141.8,28.2,852.1,893.7,56,58.8
251.4,0,118.3,192.9,5.8,1043.6,754.3,3,11.98
500,0,0,200,0,1125,613,14,36.94
166.1,0,163.3,176.5,4.5,1058.6,780.1,100,33.54
178,129.8,118.6,179.9,3.6,1007.3,746.8,100,49.99
213.5,0,174.2,154.6,11.7,1052.3,775.5,3,17.37
222.4,0,96.7,189.3,4.5,967.1,870.3,28,24.89
116,173,0,192,0,909.8,891.9,28,22.35
251.4,0,118.3,188.5,6.4,1028.4,757.7,100,44.21
213.8,98.1,24.5,181.7,6.7,1066,785.5,56,47.13
500,0,0,200,0,1125,613,7,33.21
192,288,0,192,0,929.8,716.1,28,39.32
313,145,0,178,8,867,824,28,44.39
165,0,143.6,163.8,0,1005.6,900.9,28,26.2
165,0,143.6,163.8,0,1005.6,900.9,3,14.4
246.8,0,125.1,143.3,12,1086.8,800.9,28,52.5
425,106.3,0,153.5,16.5,852.1,887.1,3,33.4
350,0,0,203,0,974,775,14,22.53
333,0,0,192,0,931.2,842.6,3,15.62
166.8,250.2,0,203.5,0,975.6,692.6,90,43.57
251.8,0,99.9,146.1,12.4,1006,899.8,56,44.14
252.3,0,98.8,146.3,14.2,987.8,889,28,50.6
339,0,0,197,0,968,781,90,35.17
331,0,0,192,0,1025,821,120,39.38
531.3,0,0,141.8,28.2,852.1,893.7,3,41.3
387,20,94,157,11.6,938,845,28,46.68
439,177,0,186,11.1,884.9,707.9,56,71.7
427.5,47.5,0,228,0,932,594,7,35.08
252.3,0,98.8,146.3,14.2,987.8,889,100,60.95
322.2,0,115.6,196,10.4,817.9,813.4,28,31.18
317.9,0,126.5,209.7,5.7,860.5,736.6,28,40.06
236,0,0,194,0,968,885,3,6.47
194.7,0,100.5,170.2,7.5,998,901.8,56,43.39
148,0,137,158,16,1002,830,28,17.95
230,0,118.3,195.5,4.6,1029.4,758.6,14,20.08
148,175,0,171,2,1000,828,28,26.92
350,0,0,203,0,974,775,7,18.13
475,0,0,228,0,932,594,7,38.6
339,0,0,197,0,968,781,7,20.97
190.3,0,125.2,166.6,9.9,1079,798.9,14,19.42
150.7,0,185.3,166.7,15.6,1074.5,678,28,13.46
332.5,142.5,0,228,0,932,594,365,41.05
212.5,0,100.4,159.3,8.7,1007.8,903.6,3,13.54
279.8,128.9,100.4,172.4,9.5,825.1,804.9,28,52.83
305.3,203.5,0,203.5,0,965.4,631,28,43.38
229.7,0,118.2,195.2,6.1,1028.1,757.6,56,31.35
146,230,0,202,3,827,872,28,33.06
250,0,95.7,191.8,5.3,948.9,857.2,56,39.64
183.9,122.6,0,203.5,0,959.2,800,28,24.05
261,100,78,201,9,864,761,28,32.4
194.7,0,100.5,165.6,7.5,1006.4,905.9,28,25.72
147,115,89,202,9,860,829,28,19.99
213.5,0,174.2,159.2,11.7,1043.6,771.9,100,52.96
310,0,0,192,0,1012,830,3,11.85
380,0,0,228,0,932,670,365,52.52
157,236,0,192,0,935.4,781.2,7,16.89
144,170,133,192,8,814,805,28,29.87
321,164,0,190,5,870,774,28,57.21
401.8,94.7,0,147.4,11.4,946.8,852.1,56,73.7
212,141.3,0,203.5,0,973.4,750,90,39.7
380,95,0,228,0,932,594,270,41.15
304,76,0,228,0,932,670,28,47.81
212.6,0,100.4,159.4,10.4,1003.8,903.8,56,44.4
289,0,0,192,0,913.2,895.3,90,32.07
480,0,0,192,0,936,721,28,43.89
310,143,0,168,10,914,804,28,45.3
325.6,166.4,0,174,8.9,881.6,790,28,61.24
165,128.5,132.1,175.1,8.1,1005.8,746.6,28,46.39
158.8,238.2,0,185.7,0,1040.6,734.3,28,21.07
315,137,0,145,5.9,1130,745,28,81.75
304,76,0,228,0,932,670,180,50.95
322,0,0,203,0,974,800,180,29.59
251.8,0,99.9,146.1,12.4,1006,899.8,14,33.36
321.3,164.2,0,190.5,4.6,870,774,28,57.22
122.6,183.9,0,203.5,0,958.2,800.1,90,33.19
297.2,0,117.5,174.8,9.5,1022.8,753.5,28,47.4
148,0,182,181,15,839,884,28,15.52
150.9,0,183.9,166.6,11.6,991.2,772.2,28,15.57
310,0,0,192,0,971,850.6,3,9.87
339,0,0,197,0,968,781,14,27.04
181.4,0,167,169.6,7.6,1055.6,777.8,56,35.57
139.7,163.9,127.7,236.7,5.8,868.6,655.6,28,35.23
425,106.3,0,151.4,18.6,936,803.7,91,66.7
380,0,0,228,0,932,670,270,53.3
284,119.7,0,168.3,7.2,970.4,794.2,28,40.93
178,129.8,118.6,179.9,3.6,1007.3,746.8,3,20.73
359,19,141,154,10.9,942,801,56,68.75
500,0,0,200,0,1125,613,90,47.22
222.4,0,96.7,189.3,4.5,967.1,870.3,14,24.45
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,100,37.68
237.5,237.5,0,228,0,932,594,90,33.12
387,20,94,157,14.3,938,845,7,36.84
349,0,0,192,0,1056,809,28,33.61
520,0,0,170,5.2,855,855,28,60.28
332.5,142.5,0,228,0,932,594,90,37.72
382,0,0,186,0,1047,739,28,37.42
236,0,0,194,0,968,885,28,18.42
425,106.3,0,153.5,16.5,852.1,887.1,3,33.4
116,173,0,192,0,909.8,891.9,7,10.09
233.8,0,94.6,197.9,4.6,947,852.2,28,22.84
213.8,98.1,24.5,181.7,6.7,1066,785.5,100,49.97
305.3,203.5,0,203.5,0,965.4,631,7,25.89
165,0,143.6,163.8,0,1005.6,900.9,14,16.88
108.3,162.4,0,203.5,0,938.2,849,3,2.33
322,0,0,203,0,974,800,28,25.18
339,0,0,185,0,1060,754,28,31.65
332.5,142.5,0,228,0,932,594,180,39.78
266,114,0,228,0,932,670,28,45.85
265,111,86,195,6,833,790,28,41.54
376,0,0,214.6,0,1003.5,762.4,100,43.06
322.5,148.6,0,185.8,8.5,951,709.5,28,52.43
152,0,112,184,8,992,816,28,12.18
387,20,94,157,11.6,938,845,3,34.77
212,0,124.8,159,7.8,1085.4,799.5,3,19.52
153,145,113,178,8,1002,689,28,25.56
475,118.8,0,181.1,8.9,852.1,781.5,7,55.6
154,144,112,220,10,923,658,28,16.5
233.8,0,94.6,197.9,4.6,947,852.2,56,27.66
141.3,212,0,203.5,0,971.8,748.5,3,4.83
228,342.1,0,185.7,0,955.8,674.3,7,21.92
397,0,0,185.7,0,1040.6,734.3,28,33.08
387,20,94,157,14.3,938,845,3,22.75
212.1,0,121.6,180.3,5.7,1057.6,779.3,56,34.2
252,0,0,185,0,1111,784,28,19.69
362.6,189,0,164.9,11.6,944.7,755.8,56,77.3
277,0,0,191,0,968,856,28,25.97
229.7,0,118.2,195.2,6.1,1028.1,757.6,28,24.54
139.6,209.4,0,192,0,1047,806.9,3,8.06
389.9,189,0,145.9,22,944.7,755.8,56,79.4
296,0,106.7,221.4,10.5,819.2,778.4,28,31.42
166.1,0,163.3,176.5,4.5,1058.6,780.1,3,10.76
313.8,0,112.6,169.9,10.1,925.3,782.9,28,38.46
531.3,0,0,141.8,28.2,852.1,893.7,7,46.9
154.8,0,142.8,193.3,9.1,877.2,867.7,28,9.74
425,106.3,0,153.5,16.5,852.1,887.1,28,60.29
362.6,189,0,164.9,11.6,944.7,755.8,91,79.3
122.6,183.9,0,203.5,0,958.2,800.1,7,10.35
296,0,0,186,0,1090,769,7,18.91
446,24,79,162,11.6,967,712,28,44.42
500,0,0,140,4,966,853,28,67.57
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,28,52.2
178,129.8,118.6,179.9,3.6,1007.3,746.8,56,48.59
439,177,0,186,11.1,884.9,707.9,3,39.3
303.6,139.9,0,213.5,6.2,895.5,722.5,28,33.42
334,17.6,158,189,15.3,967,633,28,44.33
213.5,0,174.2,154.6,11.7,1052.3,775.5,28,45.94
325,0,0,184,0,1063,783,28,30.57
210.7,316.1,0,185.7,0,977,689.3,28,37.81
158.4,0,194.9,219.7,11,897.7,712.9,28,8.54
218.9,0,124.1,158.5,11.3,1078.7,794.9,28,30.22
505,0,60,195,0,1030,630,28,64.02
322,0,0,203,0,974,800,14,20.77
313.3,145,0,178.5,8,867.2,824,28,40.93
375,0,0,186,0,1038,758,7,26.06
162,207,172,216,10,822,638,28,39.84
200,0,0,180,0,1125,845,7,7.84
339,0,0,185,0,1069,754,28,31.84
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,28,63.14
298.1,0,107,186.4,6.1,879,815.2,28,42.64
295.7,0,95.6,171.5,8.9,955.1,859.2,14,35.23
522,0,0,146,0,896,896,7,50.51
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,100,48.15
376,0,0,214.6,0,1003.5,762.4,56,36.3
446,24,79,162,11.6,967,712,3,23.35
446,24,79,162,10.3,967,712,56,54.77
167,75.4,167,164,7.9,1007.3,770.1,28,41.41
446,24,79,162,11.6,967,712,3,25.02
147.8,175.1,0,171.2,2.2,1000,828.5,28,26.92
149,118,92,183,7,953,780,28,23.52
359,19,141,154,10.9,942,801,7,35.75
160,128,122,182,6.4,824,879,28,39.4
213.5,0,174.2,154.6,11.7,1052.3,775.5,14,33.7
153.1,145,113,178.5,8,1001.9,688.7,28,25.56
186.2,124.1,0,185.7,0,1083.4,764.3,7,8
491,26,123,201,3.9,822,699,7,37.92
251.4,0,118.3,188.5,6.4,1028.4,757.7,14,24.43
295.7,0,95.6,171.5,8.9,955.1,859.2,28,39.94
135,0,166,180,10,961,805,28,13.29
349,0,0,192,0,1047,806,7,18.13
250.2,166.8,0,203.5,0,977.6,694.1,7,19.35
333,17.5,163,167,17.9,996,652,28,47.28
250,0,95.7,187.4,5.5,956.9,861.2,14,24.92
321.4,0,127.9,182.5,11.5,870.1,779.7,28,37.27
289,0,0,192,0,913.2,895.3,7,14.6
427.5,47.5,0,228,0,932,594,365,43.7
359,19,141,154,10.9,942,801,28,62.94
275.1,0,121.4,159.5,9.9,1053.6,777.5,100,58.61
149,153,194,192,8,935,623,28,24.58
339,0,0,197,0,968,781,3,13.22
135,105,193,196,6,965,643,28,21.91
182,45.2,122,170.2,8.2,1059.4,780.7,28,31.27
309.9,142.8,111.2,167.8,22.1,913.9,651.2,28,38.22
233.8,0,94.6,197.9,4.6,947,852.2,3,10.38
190.3,0,125.2,161.9,9.9,1088.1,802.6,28,28.47
139.6,209.4,0,192,0,1047,806.9,360,44.7
304,140,0,214,6,895,722,28,33.42
157,236,0,192,0,935.4,781.2,28,33.66
323.7,282.8,0,183.8,10.3,942.7,659.9,28,74.7
151,0,185,167,16,1074,678,28,13.46
250,0,95.7,187.4,5.5,956.9,861.2,3,13.82
192,288,0,192,0,929.8,716.1,3,12.79
288,121,0,177,7,908,829,28,42.13
350,0,0,186,0,1050,770,7,20.28
168,42.1,163.8,121.8,5.7,1058.7,780.1,3,7.75
213.8,98.1,24.5,181.7,6.7,1066,785.5,3,13.18
155,184,143,194,9,880,699,28,28.99
296,0,0,192,0,1085,765,28,21.65
135.7,203.5,0,185.7,0,1076.2,759.3,28,18.2
166.1,0,163.3,176.5,4.5,1058.6,780.1,56,28.63
213.5,0,174.2,154.6,11.7,1052.3,775.5,100,59.3
116,173,0,192,0,909.8,891.9,3,6.28
382,0,0,185,0,1047,739,28,37.42
251.4,0,118.3,188.5,6.4,1028.4,757.7,3,13.12
165,128.5,132.1,175.1,8.1,1005.8,746.6,14,33.09
250.2,166.8,0,203.5,0,977.6,694.1,90,47.71
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3
380,95,0,228,0,932,594,28,36.45
342,38,0,228,0,932,670,365,56.14
307,0,0,193,0,968,812,90,32.92
210.7,316.1,0,185.7,0,977,689.3,7,21.82
379.5,151.2,0,153.9,15.9,1134.3,605,91,56.5
475,0,0,228,0,932,594,90,42.23
144,136,106,178,7,941,774,28,26.14
234,156,0,189,5.9,981,760,28,39.3
285,190,0,163,7.6,1031,685,28,53.58
374,189.2,0,170.1,10.1,926.1,756.7,7,46.2
230,0,118.3,195.5,4.6,1029.4,758.6,28,24.48
379.5,151.2,0,153.9,15.9,1134.3,605,56,54.9
148.1,0,182.1,181.4,15,838.9,884.3,28,15.53
333,0,0,192,0,931.2,842.6,28,31.97
491,26,123,210,3.9,882,699,56,59.59
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3
213.5,0,174.2,159.2,11.7,1043.6,771.9,56,51.26
151.8,178.1,138.7,167.5,18.3,944,694.6,28,36.35
276,116,90,180,9,870,768,28,44.28
286.3,200.9,0,144.7,11.2,1004.6,803.7,28,67.7
250,180,95,159,9.5,860,800,28,67.87
251.8,0,99.9,146.1,12.4,1006,899.8,100,45.37
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,100,50.94
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,56,53.77
281,0,0,185,0,1104,774,28,22.44
252.3,0,98.8,146.3,14.2,987.8,889,56,55.83
203.5,305.3,0,203.5,0,963.4,630,90,51.86
480,0,0,192,0,936.2,712.2,7,34.57
